Graficar despejando Y
X:-5	Y:-21		Xg:-50	Yg:-210
X:-4,599991	Y:-17,55993		Xg:-45,99991	Yg:-175,5992
X:-4,589991	Y:-17,47802		Xg:-45,89991	Yg:-174,7802
X:-4,57999	Y:-17,39632		Xg:-45,7999	Yg:-173,9632
X:-4,56999	Y:-17,31482		Xg:-45,6999	Yg:-173,1482
X:-4,55999	Y:-17,23352		Xg:-45,5999	Yg:-172,3352
X:-4,54999	Y:-17,15242		Xg:-45,4999	Yg:-171,5242
X:-4,539989	Y:-17,07151		Xg:-45,39989	Yg:-170,7151
X:-4,529989	Y:-16,99081		Xg:-45,29989	Yg:-169,9081
X:-4,519989	Y:-16,91031		Xg:-45,19989	Yg:-169,1031
X:-4,509989	Y:-16,83001		Xg:-45,09989	Yg:-168,3001
X:-4,499989	Y:-16,74991		Xg:-44,99989	Yg:-167,4991
X:-4,489988	Y:-16,67001		Xg:-44,89988	Yg:-166,7001
X:-4,479988	Y:-16,59031		Xg:-44,79988	Yg:-165,903
X:-4,469988	Y:-16,5108		Xg:-44,69988	Yg:-165,108
X:-4,459988	Y:-16,4315		Xg:-44,59988	Yg:-164,315
X:-4,449987	Y:-16,3524		Xg:-44,49987	Yg:-163,524
X:-4,439987	Y:-16,2735		Xg:-44,39987	Yg:-162,735
X:-4,429987	Y:-16,1948		Xg:-44,29987	Yg:-161,948
X:-4,419987	Y:-16,1163		Xg:-44,19987	Yg:-161,163
X:-4,409986	Y:-16,03799		Xg:-44,09986	Yg:-160,3799
X:-4,399986	Y:-15,95989		Xg:-43,99986	Yg:-159,5989
X:-4,389986	Y:-15,88199		Xg:-43,89986	Yg:-158,8199
X:-4,379986	Y:-15,80429		Xg:-43,79986	Yg:-158,0429
X:-4,369986	Y:-15,72679		Xg:-43,69986	Yg:-157,2679
X:-4,359985	Y:-15,64949		Xg:-43,59985	Yg:-156,4949
X:-4,349985	Y:-15,57239		Xg:-43,49985	Yg:-155,7239
X:-4,339985	Y:-15,49548		Xg:-43,39985	Yg:-154,9548
X:-4,329985	Y:-15,41878		Xg:-43,29985	Yg:-154,1878
X:-4,319984	Y:-15,34228		Xg:-43,19984	Yg:-153,4228
X:-4,309984	Y:-15,26598		Xg:-43,09984	Yg:-152,6598
X:-4,299984	Y:-15,18988		Xg:-42,99984	Yg:-151,8988
X:-4,289984	Y:-15,11398		Xg:-42,89984	Yg:-151,1398
X:-4,279984	Y:-15,03828		Xg:-42,79984	Yg:-150,3828
X:-4,269983	Y:-14,96277		Xg:-42,69983	Yg:-149,6277
X:-4,259983	Y:-14,88747		Xg:-42,59983	Yg:-148,8747
X:-4,249983	Y:-14,81237		Xg:-42,49983	Yg:-148,1237
X:-4,239983	Y:-14,73747		Xg:-42,39983	Yg:-147,3747
X:-4,229982	Y:-14,66277		Xg:-42,29982	Yg:-146,6277
X:-4,219982	Y:-14,58827		Xg:-42,19982	Yg:-145,8827
X:-4,209982	Y:-14,51397		Xg:-42,09982	Yg:-145,1396
X:-4,199982	Y:-14,43986		Xg:-41,99982	Yg:-144,3986
X:-4,189981	Y:-14,36596		Xg:-41,89981	Yg:-143,6596
X:-4,179981	Y:-14,29226		Xg:-41,79981	Yg:-142,9226
X:-4,169981	Y:-14,21876		Xg:-41,69981	Yg:-142,1876
X:-4,159981	Y:-14,14546		Xg:-41,59981	Yg:-141,4546
X:-4,149981	Y:-14,07236		Xg:-41,49981	Yg:-140,7236
X:-4,13998	Y:-13,99946		Xg:-41,3998	Yg:-139,9946
X:-4,12998	Y:-13,92676		Xg:-41,2998	Yg:-139,2676
X:-4,11998	Y:-13,85425		Xg:-41,1998	Yg:-138,5425
X:-4,10998	Y:-13,78195		Xg:-41,0998	Yg:-137,8195
X:-4,099979	Y:-13,70985		Xg:-40,99979	Yg:-137,0985
X:-4,089979	Y:-13,63795		Xg:-40,89979	Yg:-136,3795
X:-4,079979	Y:-13,56625		Xg:-40,79979	Yg:-135,6625
X:-4,069979	Y:-13,49475		Xg:-40,69979	Yg:-134,9475
X:-4,059978	Y:-13,42345		Xg:-40,59978	Yg:-134,2345
X:-4,049978	Y:-13,35235		Xg:-40,49978	Yg:-133,5235
X:-4,039978	Y:-13,28144		Xg:-40,39978	Yg:-132,8145
X:-4,029978	Y:-13,21074		Xg:-40,29978	Yg:-132,1074
X:-4,019978	Y:-13,14024		Xg:-40,19978	Yg:-131,4024
X:-4,009977	Y:-13,06994		Xg:-40,09977	Yg:-130,6994
X:-3,999977	Y:-12,99984		Xg:-39,99977	Yg:-129,9984
X:-3,989977	Y:-12,92994		Xg:-39,89977	Yg:-129,2994
X:-3,979977	Y:-12,86024		Xg:-39,79977	Yg:-128,6024
X:-3,969977	Y:-12,79074		Xg:-39,69978	Yg:-127,9074
X:-3,959977	Y:-12,72144		Xg:-39,59977	Yg:-127,2144
X:-3,949977	Y:-12,65234		Xg:-39,49977	Yg:-126,5234
X:-3,939977	Y:-12,58344		Xg:-39,39977	Yg:-125,8344
X:-3,929977	Y:-12,51474		Xg:-39,29977	Yg:-125,1474
X:-3,919977	Y:-12,44625		Xg:-39,19978	Yg:-124,4624
X:-3,909977	Y:-12,37795		Xg:-39,09977	Yg:-123,7795
X:-3,899977	Y:-12,30985		Xg:-38,99977	Yg:-123,0985
X:-3,889977	Y:-12,24195		Xg:-38,89977	Yg:-122,4195
X:-3,879977	Y:-12,17425		Xg:-38,79977	Yg:-121,7425
X:-3,869977	Y:-12,10675		Xg:-38,69978	Yg:-121,0675
X:-3,859977	Y:-12,03945		Xg:-38,59977	Yg:-120,3945
X:-3,849977	Y:-11,97235		Xg:-38,49977	Yg:-119,7235
X:-3,839978	Y:-11,90545		Xg:-38,39978	Yg:-119,0545
X:-3,829978	Y:-11,83875		Xg:-38,29977	Yg:-118,3875
X:-3,819978	Y:-11,77225		Xg:-38,19978	Yg:-117,7225
X:-3,809978	Y:-11,70595		Xg:-38,09978	Yg:-117,0595
X:-3,799978	Y:-11,63985		Xg:-37,99977	Yg:-116,3985
X:-3,789978	Y:-11,57395		Xg:-37,89978	Yg:-115,7395
X:-3,779978	Y:-11,50825		Xg:-37,79977	Yg:-115,0825
X:-3,769978	Y:-11,44275		Xg:-37,69978	Yg:-114,4275
X:-3,759978	Y:-11,37745		Xg:-37,59978	Yg:-113,7745
X:-3,749978	Y:-11,31235		Xg:-37,49977	Yg:-113,1235
X:-3,739978	Y:-11,24745		Xg:-37,39978	Yg:-112,4745
X:-3,729978	Y:-11,18276		Xg:-37,29977	Yg:-111,8276
X:-3,719978	Y:-11,11826		Xg:-37,19978	Yg:-111,1826
X:-3,709978	Y:-11,05396		Xg:-37,09978	Yg:-110,5396
X:-3,699978	Y:-10,98986		Xg:-36,99977	Yg:-109,8986
X:-3,689978	Y:-10,92596		Xg:-36,89978	Yg:-109,2596
X:-3,679978	Y:-10,86226		Xg:-36,79978	Yg:-108,6226
X:-3,669978	Y:-10,79876		Xg:-36,69978	Yg:-107,9876
X:-3,659978	Y:-10,73546		Xg:-36,59978	Yg:-107,3546
X:-3,649978	Y:-10,67236		Xg:-36,49978	Yg:-106,7236
X:-3,639978	Y:-10,60946		Xg:-36,39978	Yg:-106,0946
X:-3,629978	Y:-10,54676		Xg:-36,29978	Yg:-105,4676
X:-3,619978	Y:-10,48426		Xg:-36,19978	Yg:-104,8426
X:-3,609978	Y:-10,42196		Xg:-36,09978	Yg:-104,2196
X:-3,599978	Y:-10,35986		Xg:-35,99978	Yg:-103,5986
X:-3,589978	Y:-10,29796		Xg:-35,89978	Yg:-102,9796
X:-3,579978	Y:-10,23626		Xg:-35,79978	Yg:-102,3626
X:-3,569978	Y:-10,17476		Xg:-35,69978	Yg:-101,7476
X:-3,559978	Y:-10,11346		Xg:-35,59978	Yg:-101,1346
X:-3,549978	Y:-10,05236		Xg:-35,49978	Yg:-100,5236
X:-3,539978	Y:-9,991465		Xg:-35,39978	Yg:-99,91464
X:-3,529978	Y:-9,930765		Xg:-35,29978	Yg:-99,30765
X:-3,519978	Y:-9,870266		Xg:-35,19978	Yg:-98,70266
X:-3,509978	Y:-9,809966		Xg:-35,09978	Yg:-98,09966
X:-3,499978	Y:-9,749867		Xg:-34,99978	Yg:-97,49867
X:-3,489978	Y:-9,689967		Xg:-34,89978	Yg:-96,89967
X:-3,479978	Y:-9,630268		Xg:-34,79978	Yg:-96,30268
X:-3,469978	Y:-9,570768		Xg:-34,69978	Yg:-95,70769
X:-3,459978	Y:-9,511469		Xg:-34,59978	Yg:-95,11469
X:-3,449978	Y:-9,45237		Xg:-34,49978	Yg:-94,5237
X:-3,439978	Y:-9,39347		Xg:-34,39978	Yg:-93,9347
X:-3,429978	Y:-9,33477		Xg:-34,29978	Yg:-93,3477
X:-3,419978	Y:-9,276271		Xg:-34,19978	Yg:-92,76271
X:-3,409978	Y:-9,217972		Xg:-34,09978	Yg:-92,17972
X:-3,399978	Y:-9,159872		Xg:-33,99978	Yg:-91,59872
X:-3,389978	Y:-9,101973		Xg:-33,89978	Yg:-91,01973
X:-3,379978	Y:-9,044273		Xg:-33,79978	Yg:-90,44273
X:-3,369978	Y:-8,986773		Xg:-33,69978	Yg:-89,86774
X:-3,359978	Y:-8,929474		Xg:-33,59978	Yg:-89,29474
X:-3,349978	Y:-8,872375		Xg:-33,49978	Yg:-88,72375
X:-3,339978	Y:-8,815475		Xg:-33,39978	Yg:-88,15475
X:-3,329978	Y:-8,758776		Xg:-33,29978	Yg:-87,58775
X:-3,319978	Y:-8,702276		Xg:-33,19978	Yg:-87,02277
X:-3,309978	Y:-8,645976		Xg:-33,09978	Yg:-86,45976
X:-3,299978	Y:-8,589877		Xg:-32,99978	Yg:-85,89877
X:-3,289978	Y:-8,533978		Xg:-32,89978	Yg:-85,33978
X:-3,279978	Y:-8,478278		Xg:-32,79978	Yg:-84,78278
X:-3,269978	Y:-8,422778		Xg:-32,69978	Yg:-84,22778
X:-3,259978	Y:-8,367479		Xg:-32,59978	Yg:-83,67479
X:-3,249978	Y:-8,31238		Xg:-32,49978	Yg:-83,12379
X:-3,239978	Y:-8,25748		Xg:-32,39978	Yg:-82,5748
X:-3,229978	Y:-8,202781		Xg:-32,29978	Yg:-82,02781
X:-3,219978	Y:-8,148281		Xg:-32,19978	Yg:-81,48281
X:-3,209978	Y:-8,093982		Xg:-32,09978	Yg:-80,93982
X:-3,199978	Y:-8,039882		Xg:-31,99978	Yg:-80,39882
X:-3,189978	Y:-7,985982		Xg:-31,89978	Yg:-79,85983
X:-3,179978	Y:-7,932283		Xg:-31,79978	Yg:-79,32283
X:-3,169978	Y:-7,878783		Xg:-31,69978	Yg:-78,78783
X:-3,159978	Y:-7,825484		Xg:-31,59978	Yg:-78,25484
X:-3,149978	Y:-7,772384		Xg:-31,49978	Yg:-77,72384
X:-3,139978	Y:-7,719485		Xg:-31,39978	Yg:-77,19485
X:-3,129978	Y:-7,666785		Xg:-31,29978	Yg:-76,66785
X:-3,119978	Y:-7,614286		Xg:-31,19978	Yg:-76,14286
X:-3,109978	Y:-7,561986		Xg:-31,09978	Yg:-75,61986
X:-3,099978	Y:-7,509887		Xg:-30,99978	Yg:-75,09887
X:-3,089978	Y:-7,457987		Xg:-30,89978	Yg:-74,57987
X:-3,079978	Y:-7,406288		Xg:-30,79978	Yg:-74,06287
X:-3,069978	Y:-7,354788		Xg:-30,69978	Yg:-73,54788
X:-3,059978	Y:-7,303489		Xg:-30,59978	Yg:-73,03489
X:-3,049978	Y:-7,252389		Xg:-30,49978	Yg:-72,52389
X:-3,039978	Y:-7,201489		Xg:-30,39978	Yg:-72,01489
X:-3,029978	Y:-7,15079		Xg:-30,29978	Yg:-71,5079
X:-3,019978	Y:-7,100291		Xg:-30,19978	Yg:-71,00291
X:-3,009978	Y:-7,049991		Xg:-30,09978	Yg:-70,49991
X:-2,999978	Y:-6,999892		Xg:-29,99978	Yg:-69,99892
X:-2,989978	Y:-6,949992		Xg:-29,89978	Yg:-69,49992
X:-2,979978	Y:-6,900292		Xg:-29,79978	Yg:-69,00292
X:-2,969978	Y:-6,850793		Xg:-29,69978	Yg:-68,50793
X:-2,959978	Y:-6,801494		Xg:-29,59978	Yg:-68,01494
X:-2,949978	Y:-6,752394		Xg:-29,49978	Yg:-67,52394
X:-2,939978	Y:-6,703495		Xg:-29,39978	Yg:-67,03494
X:-2,929978	Y:-6,654795		Xg:-29,29978	Yg:-66,54794
X:-2,919978	Y:-6,606296		Xg:-29,19978	Yg:-66,06296
X:-2,909978	Y:-6,557996		Xg:-29,09978	Yg:-65,57996
X:-2,899978	Y:-6,509896		Xg:-28,99978	Yg:-65,09896
X:-2,889978	Y:-6,461997		Xg:-28,89978	Yg:-64,61997
X:-2,879978	Y:-6,414297		Xg:-28,79978	Yg:-64,14297
X:-2,869978	Y:-6,366798		Xg:-28,69978	Yg:-63,66798
X:-2,859978	Y:-6,319498		Xg:-28,59978	Yg:-63,19498
X:-2,849978	Y:-6,272398		Xg:-28,49978	Yg:-62,72398
X:-2,839978	Y:-6,225499		Xg:-28,39978	Yg:-62,25499
X:-2,829978	Y:-6,1788		Xg:-28,29979	Yg:-61,78799
X:-2,819978	Y:-6,1323		Xg:-28,19979	Yg:-61,323
X:-2,809978	Y:-6,086		Xg:-28,09978	Yg:-60,86
X:-2,799978	Y:-6,039901		Xg:-27,99978	Yg:-60,39901
X:-2,789979	Y:-5,994001		Xg:-27,89978	Yg:-59,94001
X:-2,779979	Y:-5,948302		Xg:-27,79979	Yg:-59,48302
X:-2,769979	Y:-5,902802		Xg:-27,69979	Yg:-59,02802
X:-2,759979	Y:-5,857503		Xg:-27,59978	Yg:-58,57503
X:-2,749979	Y:-5,812404		Xg:-27,49979	Yg:-58,12404
X:-2,739979	Y:-5,767504		Xg:-27,39979	Yg:-57,67504
X:-2,729979	Y:-5,722805		Xg:-27,29979	Yg:-57,22805
X:-2,719979	Y:-5,678305		Xg:-27,19979	Yg:-56,78305
X:-2,709979	Y:-5,634006		Xg:-27,09978	Yg:-56,34006
X:-2,699979	Y:-5,589906		Xg:-26,99979	Yg:-55,89906
X:-2,689979	Y:-5,546006		Xg:-26,89979	Yg:-55,46006
X:-2,679979	Y:-5,502307		Xg:-26,79979	Yg:-55,02307
X:-2,669979	Y:-5,458807		Xg:-26,69979	Yg:-54,58807
X:-2,659979	Y:-5,415508		Xg:-26,59979	Yg:-54,15508
X:-2,649979	Y:-5,372408		Xg:-26,49979	Yg:-53,72408
X:-2,639979	Y:-5,329509		Xg:-26,39979	Yg:-53,29509
X:-2,629979	Y:-5,286809		Xg:-26,29979	Yg:-52,86809
X:-2,619979	Y:-5,244309		Xg:-26,19979	Yg:-52,44309
X:-2,609979	Y:-5,20201		Xg:-26,09979	Yg:-52,0201
X:-2,599979	Y:-5,159911		Xg:-25,99979	Yg:-51,59911
X:-2,589979	Y:-5,118011		Xg:-25,89979	Yg:-51,18011
X:-2,579979	Y:-5,076312		Xg:-25,79979	Yg:-50,76311
X:-2,569979	Y:-5,034812		Xg:-25,69979	Yg:-50,34812
X:-2,559979	Y:-4,993512		Xg:-25,59979	Yg:-49,93512
X:-2,549979	Y:-4,952413		Xg:-25,49979	Yg:-49,52412
X:-2,539979	Y:-4,911513		Xg:-25,39979	Yg:-49,11514
X:-2,529979	Y:-4,870814		Xg:-25,29979	Yg:-48,70814
X:-2,519979	Y:-4,830314		Xg:-25,19979	Yg:-48,30314
X:-2,509979	Y:-4,790015		Xg:-25,09979	Yg:-47,90015
X:-2,499979	Y:-4,749915		Xg:-24,99979	Yg:-47,49915
X:-2,489979	Y:-4,710016		Xg:-24,89979	Yg:-47,10016
X:-2,479979	Y:-4,670316		Xg:-24,79979	Yg:-46,70316
X:-2,469979	Y:-4,630816		Xg:-24,69979	Yg:-46,30817
X:-2,459979	Y:-4,591517		Xg:-24,59979	Yg:-45,91517
X:-2,449979	Y:-4,552417		Xg:-24,49979	Yg:-45,52417
X:-2,439979	Y:-4,513518		Xg:-24,39979	Yg:-45,13518
X:-2,429979	Y:-4,474818		Xg:-24,29979	Yg:-44,74818
X:-2,419979	Y:-4,436319		Xg:-24,19979	Yg:-44,36319
X:-2,409979	Y:-4,398019		Xg:-24,09979	Yg:-43,98019
X:-2,399979	Y:-4,35992		Xg:-23,99979	Yg:-43,5992
X:-2,389979	Y:-4,32202		Xg:-23,89979	Yg:-43,2202
X:-2,379979	Y:-4,284321		Xg:-23,79979	Yg:-42,84321
X:-2,369979	Y:-4,246821		Xg:-23,69979	Yg:-42,46821
X:-2,359979	Y:-4,209522		Xg:-23,59979	Yg:-42,09522
X:-2,349979	Y:-4,172422		Xg:-23,49979	Yg:-41,72422
X:-2,339979	Y:-4,135522		Xg:-23,39979	Yg:-41,35522
X:-2,329979	Y:-4,098823		Xg:-23,29979	Yg:-40,98823
X:-2,319979	Y:-4,062324		Xg:-23,19979	Yg:-40,62324
X:-2,309979	Y:-4,026024		Xg:-23,09979	Yg:-40,26024
X:-2,299979	Y:-3,989924		Xg:-22,99979	Yg:-39,89924
X:-2,289979	Y:-3,954025		Xg:-22,89979	Yg:-39,54025
X:-2,279979	Y:-3,918325		Xg:-22,79979	Yg:-39,18325
X:-2,269979	Y:-3,882826		Xg:-22,69979	Yg:-38,82825
X:-2,259979	Y:-3,847526		Xg:-22,59979	Yg:-38,47526
X:-2,249979	Y:-3,812427		Xg:-22,49979	Yg:-38,12427
X:-2,239979	Y:-3,777527		Xg:-22,39979	Yg:-37,77527
X:-2,229979	Y:-3,742827		Xg:-22,29979	Yg:-37,42828
X:-2,219979	Y:-3,708328		Xg:-22,19979	Yg:-37,08328
X:-2,209979	Y:-3,674028		Xg:-22,09979	Yg:-36,74028
X:-2,199979	Y:-3,639929		Xg:-21,99979	Yg:-36,39929
X:-2,189979	Y:-3,606029		Xg:-21,89979	Yg:-36,06029
X:-2,179979	Y:-3,57233		Xg:-21,79979	Yg:-35,7233
X:-2,169979	Y:-3,53883		Xg:-21,69979	Yg:-35,3883
X:-2,159979	Y:-3,505531		Xg:-21,59979	Yg:-35,05531
X:-2,149979	Y:-3,472431		Xg:-21,49979	Yg:-34,72431
X:-2,139979	Y:-3,439532		Xg:-21,39979	Yg:-34,39532
X:-2,129979	Y:-3,406832		Xg:-21,29979	Yg:-34,06832
X:-2,119979	Y:-3,374332		Xg:-21,19979	Yg:-33,74332
X:-2,109979	Y:-3,342033		Xg:-21,09979	Yg:-33,42033
X:-2,099979	Y:-3,309933		Xg:-20,99979	Yg:-33,09933
X:-2,089979	Y:-3,278034		Xg:-20,89979	Yg:-32,78034
X:-2,079979	Y:-3,246334		Xg:-20,79979	Yg:-32,46334
X:-2,069979	Y:-3,214835		Xg:-20,69979	Yg:-32,14835
X:-2,059979	Y:-3,183535		Xg:-20,59979	Yg:-31,83535
X:-2,049979	Y:-3,152436		Xg:-20,49979	Yg:-31,52435
X:-2,039979	Y:-3,121536		Xg:-20,39979	Yg:-31,21536
X:-2,029979	Y:-3,090837		Xg:-20,29979	Yg:-30,90837
X:-2,019979	Y:-3,060337		Xg:-20,19979	Yg:-30,60337
X:-2,009979	Y:-3,030037		Xg:-20,09979	Yg:-30,30037
X:-1,999979	Y:-2,999938		Xg:-19,99979	Yg:-29,99938
X:-1,989979	Y:-2,970038		Xg:-19,89979	Yg:-29,70038
X:-1,979979	Y:-2,940339		Xg:-19,79979	Yg:-29,40339
X:-1,969979	Y:-2,910839		Xg:-19,69979	Yg:-29,10839
X:-1,959979	Y:-2,88154		Xg:-19,59979	Yg:-28,8154
X:-1,949979	Y:-2,85244		Xg:-19,49979	Yg:-28,5244
X:-1,939979	Y:-2,82354		Xg:-19,39979	Yg:-28,2354
X:-1,929979	Y:-2,794841		Xg:-19,29979	Yg:-27,94841
X:-1,919979	Y:-2,766341		Xg:-19,19979	Yg:-27,66341
X:-1,909979	Y:-2,738042		Xg:-19,09979	Yg:-27,38042
X:-1,899979	Y:-2,709942		Xg:-18,99979	Yg:-27,09942
X:-1,889979	Y:-2,682043		Xg:-18,89979	Yg:-26,82043
X:-1,879979	Y:-2,654343		Xg:-18,79979	Yg:-26,54343
X:-1,869979	Y:-2,626843		Xg:-18,69979	Yg:-26,26843
X:-1,859979	Y:-2,599544		Xg:-18,59979	Yg:-25,99544
X:-1,849979	Y:-2,572444		Xg:-18,49979	Yg:-25,72445
X:-1,839979	Y:-2,545545		Xg:-18,39979	Yg:-25,45545
X:-1,829979	Y:-2,518845		Xg:-18,29979	Yg:-25,18845
X:-1,819979	Y:-2,492346		Xg:-18,19979	Yg:-24,92346
X:-1,809979	Y:-2,466046		Xg:-18,09979	Yg:-24,66046
X:-1,799979	Y:-2,439947		Xg:-17,99979	Yg:-24,39947
X:-1,789979	Y:-2,414047		Xg:-17,8998	Yg:-24,14047
X:-1,779979	Y:-2,388347		Xg:-17,7998	Yg:-23,88347
X:-1,769979	Y:-2,362848		Xg:-17,69979	Yg:-23,62848
X:-1,759979	Y:-2,337548		Xg:-17,59979	Yg:-23,37548
X:-1,749979	Y:-2,312449		Xg:-17,49979	Yg:-23,12449
X:-1,73998	Y:-2,287549		Xg:-17,3998	Yg:-22,87549
X:-1,72998	Y:-2,26285		Xg:-17,2998	Yg:-22,6285
X:-1,71998	Y:-2,23835		Xg:-17,19979	Yg:-22,3835
X:-1,70998	Y:-2,214051		Xg:-17,0998	Yg:-22,1405
X:-1,69998	Y:-2,189951		Xg:-16,9998	Yg:-21,89951
X:-1,68998	Y:-2,166051		Xg:-16,8998	Yg:-21,66051
X:-1,67998	Y:-2,142352		Xg:-16,7998	Yg:-21,42352
X:-1,66998	Y:-2,118852		Xg:-16,69979	Yg:-21,18852
X:-1,65998	Y:-2,095553		Xg:-16,5998	Yg:-20,95553
X:-1,64998	Y:-2,072453		Xg:-16,4998	Yg:-20,72453
X:-1,63998	Y:-2,049553		Xg:-16,3998	Yg:-20,49553
X:-1,62998	Y:-2,026854		Xg:-16,2998	Yg:-20,26854
X:-1,61998	Y:-2,004354		Xg:-16,1998	Yg:-20,04354
X:-1,60998	Y:-1,982055		Xg:-16,0998	Yg:-19,82055
X:-1,59998	Y:-1,959955		Xg:-15,9998	Yg:-19,59955
X:-1,58998	Y:-1,938056		Xg:-15,8998	Yg:-19,38056
X:-1,57998	Y:-1,916356		Xg:-15,7998	Yg:-19,16356
X:-1,56998	Y:-1,894856		Xg:-15,6998	Yg:-18,94856
X:-1,55998	Y:-1,873557		Xg:-15,5998	Yg:-18,73557
X:-1,54998	Y:-1,852457		Xg:-15,4998	Yg:-18,52457
X:-1,53998	Y:-1,831558		Xg:-15,3998	Yg:-18,31558
X:-1,52998	Y:-1,810858		Xg:-15,2998	Yg:-18,10858
X:-1,51998	Y:-1,790359		Xg:-15,1998	Yg:-17,90359
X:-1,50998	Y:-1,770059		Xg:-15,0998	Yg:-17,70059
X:-1,49998	Y:-1,749959		Xg:-14,9998	Yg:-17,4996
X:-1,48998	Y:-1,73006		Xg:-14,8998	Yg:-17,3006
X:-1,47998	Y:-1,71036		Xg:-14,7998	Yg:-17,1036
X:-1,46998	Y:-1,690861		Xg:-14,6998	Yg:-16,90861
X:-1,45998	Y:-1,671561		Xg:-14,5998	Yg:-16,71561
X:-1,44998	Y:-1,652462		Xg:-14,4998	Yg:-16,52462
X:-1,43998	Y:-1,633562		Xg:-14,3998	Yg:-16,33562
X:-1,42998	Y:-1,614862		Xg:-14,2998	Yg:-16,14862
X:-1,41998	Y:-1,596363		Xg:-14,1998	Yg:-15,96363
X:-1,40998	Y:-1,578063		Xg:-14,0998	Yg:-15,78063
X:-1,39998	Y:-1,559964		Xg:-13,9998	Yg:-15,59964
X:-1,38998	Y:-1,542064		Xg:-13,8998	Yg:-15,42064
X:-1,37998	Y:-1,524365		Xg:-13,7998	Yg:-15,24365
X:-1,36998	Y:-1,506865		Xg:-13,6998	Yg:-15,06865
X:-1,35998	Y:-1,489565		Xg:-13,5998	Yg:-14,89565
X:-1,34998	Y:-1,472466		Xg:-13,4998	Yg:-14,72466
X:-1,33998	Y:-1,455566		Xg:-13,3998	Yg:-14,55566
X:-1,32998	Y:-1,438867		Xg:-13,2998	Yg:-14,38867
X:-1,31998	Y:-1,422367		Xg:-13,1998	Yg:-14,22367
X:-1,30998	Y:-1,406067		Xg:-13,0998	Yg:-14,06067
X:-1,29998	Y:-1,389968		Xg:-12,9998	Yg:-13,89968
X:-1,28998	Y:-1,374068		Xg:-12,8998	Yg:-13,74068
X:-1,27998	Y:-1,358369		Xg:-12,7998	Yg:-13,58369
X:-1,26998	Y:-1,342869		Xg:-12,6998	Yg:-13,42869
X:-1,25998	Y:-1,32757		Xg:-12,5998	Yg:-13,2757
X:-1,24998	Y:-1,31247		Xg:-12,4998	Yg:-13,1247
X:-1,23998	Y:-1,29757		Xg:-12,3998	Yg:-12,9757
